[2026-01-25T17:47:02.908+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.934+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.935+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:47:02.962+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T17:47:02.981+0000] {standard_task_runner.py:60} INFO - Started process 31153 to run task
[2026-01-25T17:47:02.997+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp3wduu174']
[2026-01-25T17:47:03.012+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask fetch_and_store_swaps
[2026-01-25T17:47:03.182+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T17:49:39.815+0000] {logging_mixin.py:188} INFO - [17:49:39] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T17:49:41.405+0000] {logging_mixin.py:188} INFO - [17:49:41] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T17:49:42.859+0000] {logging_mixin.py:188} INFO - [17:49:42] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T17:49:44.424+0000] {logging_mixin.py:188} INFO - [17:49:44] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T17:49:45.875+0000] {logging_mixin.py:188} INFO - [17:49:45] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T17:49:47.298+0000] {logging_mixin.py:188} INFO - [17:49:47] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T17:49:48.648+0000] {logging_mixin.py:188} INFO - [17:49:48] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T17:49:50.555+0000] {logging_mixin.py:188} INFO - [17:49:50] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T17:49:52.797+0000] {logging_mixin.py:188} INFO - [17:49:52] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T17:49:54.231+0000] {logging_mixin.py:188} INFO - [17:49:54] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T17:49:55.782+0000] {logging_mixin.py:188} INFO - [17:49:55] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T17:49:57.365+0000] {logging_mixin.py:188} INFO - [17:49:57] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T17:49:58.826+0000] {logging_mixin.py:188} INFO - [17:49:58] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T17:50:00.678+0000] {logging_mixin.py:188} INFO - [17:50:00] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T17:50:02.846+0000] {logging_mixin.py:188} INFO - [17:50:02] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T17:50:04.706+0000] {logging_mixin.py:188} INFO - [17:50:04] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T17:50:06.548+0000] {logging_mixin.py:188} INFO - [17:50:06] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T17:50:08.105+0000] {logging_mixin.py:188} INFO - [17:50:08] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T17:50:09.649+0000] {logging_mixin.py:188} INFO - [17:50:09] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T17:50:11.141+0000] {logging_mixin.py:188} INFO - [17:50:11] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T17:50:12.742+0000] {logging_mixin.py:188} INFO - [17:50:12] Fetched 1000 swaps from token0_in (Total: 116000)
