[2026-01-25T16:26:36.681+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:26:36.693+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:26:34.610211+00:00
[2026-01-25T16:26:36.697+0000] {standard_task_runner.py:60} INFO - Started process 20537 to run task
[2026-01-25T16:26:36.700+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:26:34.610211+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp0si3bgh6']
[2026-01-25T16:26:36.703+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask fetch_and_store_swaps
[2026-01-25T16:26:36.742+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [running]> on host f2da44f39545
[2026-01-25T16:29:57.276+0000] {logging_mixin.py:188} INFO - [16:29:57] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T16:29:58.810+0000] {logging_mixin.py:188} INFO - [16:29:58] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T16:30:01.658+0000] {logging_mixin.py:188} INFO - [16:30:01] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T16:30:03.428+0000] {logging_mixin.py:188} INFO - [16:30:03] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T16:30:04.938+0000] {logging_mixin.py:188} INFO - [16:30:04] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T16:30:06.788+0000] {logging_mixin.py:188} INFO - [16:30:06] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T16:30:08.303+0000] {logging_mixin.py:188} INFO - [16:30:08] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T16:30:09.829+0000] {logging_mixin.py:188} INFO - [16:30:09] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T16:30:11.528+0000] {logging_mixin.py:188} INFO - [16:30:11] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T16:30:13.084+0000] {logging_mixin.py:188} INFO - [16:30:13] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T16:30:14.483+0000] {logging_mixin.py:188} INFO - [16:30:14] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T16:30:15.989+0000] {logging_mixin.py:188} INFO - [16:30:15] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T16:30:17.830+0000] {logging_mixin.py:188} INFO - [16:30:17] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T16:30:19.374+0000] {logging_mixin.py:188} INFO - [16:30:19] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T16:30:20.865+0000] {logging_mixin.py:188} INFO - [16:30:20] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T16:30:22.422+0000] {logging_mixin.py:188} INFO - [16:30:22] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T16:30:23.807+0000] {logging_mixin.py:188} INFO - [16:30:23] Fetched 1000 swaps from token0_in (Total: 144000)
