[2026-01-25T17:31:02.010+0000] {logging_mixin.py:188} INFO - [17:31:02] Fetched 1000 swaps from token0_in (Total: 175000)
[2026-01-25T17:31:03.643+0000] {logging_mixin.py:188} INFO - [17:31:03] Fetched 1000 swaps from token0_in (Total: 176000)
[2026-01-25T17:31:05.341+0000] {logging_mixin.py:188} INFO - [17:31:05] Fetched 1000 swaps from token0_in (Total: 177000)
[2026-01-25T17:31:07.472+0000] {logging_mixin.py:188} INFO - [17:31:07] Fetched 1000 swaps from token0_in (Total: 178000)
[2026-01-25T17:31:09.076+0000] {logging_mixin.py:188} INFO - [17:31:09] Fetched 1000 swaps from token0_in (Total: 179000)
[2026-01-25T17:31:10.774+0000] {logging_mixin.py:188} INFO - [17:31:10] Fetched 1000 swaps from token0_in (Total: 180000)
[2026-01-25T17:31:13.406+0000] {logging_mixin.py:188} INFO - [17:31:13] Fetched 1000 swaps from token0_in (Total: 181000)
[2026-01-25T17:31:14.667+0000] {logging_mixin.py:188} INFO - [17:31:14] Fetched 1000 swaps from token0_in (Total: 182000)
[2026-01-25T17:31:16.675+0000] {logging_mixin.py:188} INFO - [17:31:16] Fetched 1000 swaps from token0_in (Total: 183000)
[2026-01-25T17:31:19.439+0000] {logging_mixin.py:188} INFO - [17:31:19] Fetched 1000 swaps from token0_in (Total: 184000)
[2026-01-25T17:31:21.390+0000] {logging_mixin.py:188} INFO - [17:31:21] Fetched 1000 swaps from token0_in (Total: 185000)
[2026-01-25T17:31:23.127+0000] {logging_mixin.py:188} INFO - [17:31:23] Fetched 1000 swaps from token0_in (Total: 186000)
[2026-01-25T17:31:25.157+0000] {logging_mixin.py:188} INFO - [17:31:25] Fetched 1000 swaps from token0_in (Total: 187000)
[2026-01-25T17:31:26.970+0000] {logging_mixin.py:188} INFO - [17:31:26] Fetched 1000 swaps from token0_in (Total: 188000)
[2026-01-25T17:31:28.628+0000] {logging_mixin.py:188} INFO - [17:31:28] Fetched 1000 swaps from token0_in (Total: 189000)
[2026-01-25T17:31:30.480+0000] {logging_mixin.py:188} INFO - [17:31:30] Fetched 1000 swaps from token0_in (Total: 190000)
